id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso25022,justificacion
3846,1/2/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Manta,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1072,1/3/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1134,1/3/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 18s,Medico,Quito,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
2008,1/3/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3980,1/3/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Manta,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1020,1/4/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1075,1/4/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1301,1/4/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1490,1/4/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 19s,Medico,Ambato,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
1904,1/4/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2196,1/4/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Quito,Cobertura de Contexto,"El fallo solo se manifiesta en un contexto de uso especifico (tipo de dispositivo/canal), lo que evidencia que el sistema no mantiene su calidad fuera del contexto principal de diseno."
2235,1/4/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Admision,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3173,1/4/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Paciente,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3347,1/4/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1120,1/5/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1377,1/5/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1454,1/5/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2368,1/5/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2506,1/5/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2872,1/5/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3155,1/5/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Guayaquil,Eficiencia,"Mide el consumo de un recurso (datos moviles) necesario para lograr una tarea que si se completa, encajando en la relacion recursos/resultado de Eficiencia."
3430,1/5/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Guayaquil,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
3543,1/5/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Paciente,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1286,1/6/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1530,1/6/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2371,1/6/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2895,1/6/2025,Facturacion,El sistema no permite anular una factura emitida por error,Admision,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3147,1/6/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Medico,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3360,1/6/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3522,1/6/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1062,1/7/2025,HCE,Tiempo de carga de la ficha clinica supera los 23s en horas pico,Medico,Quito,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
1151,1/7/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Quito,Cobertura de Contexto,"El fallo solo se manifiesta en un contexto de uso especifico (tipo de dispositivo/canal), lo que evidencia que el sistema no mantiene su calidad fuera del contexto principal de diseno."
1246,1/7/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2057,1/7/2025,Portal Citas,Tiempo de espera en el portal supera los 11s en horas pico,Admision,Guayaquil,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
2294,1/7/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3028,1/7/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3363,1/7/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3617,1/7/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3791,1/7/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3814,1/7/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3934,1/7/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1340,1/8/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1473,1/8/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Manta,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1610,1/8/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1670,1/8/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1737,1/8/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1952,1/8/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1986,1/8/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2067,1/8/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Manta,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2349,1/8/2025,Telemedicina,Receta electronica no se genera al finalizar la teleconsulta,Paciente,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2445,1/8/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2670,1/8/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3253,1/8/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Admision,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3517,1/8/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1066,1/9/2025,Telemedicina,Videollamada se corta a los 4 minutos,Medico,Guayaquil,Efectividad,"La teleconsulta (tarea) no se completa: el objetivo del usuario queda inconcluso, por lo tanto es Efectividad."
1196,1/9/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1269,1/9/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1280,1/9/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1321,1/9/2025,Facturacion,Retraso de 11s al procesar el pago con tarjeta de credito,Paciente,Guayaquil,Eficiencia,"El pago se procesa (objetivo logrado); el problema es el tiempo invertido, metrica de Eficiencia."
1441,1/9/2025,HCE,Nota de evolucion tarda 10s en guardarse,Medico,Guayaquil,Eficiencia,"Mide el tiempo que toma completar una tarea ya lograda (guardar la nota); es una razon tiempo/tarea, propia de Eficiencia."
1532,1/9/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1567,1/9/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Manta,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1674,1/9/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Quito,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
2626,1/9/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3011,1/9/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Admision,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3046,1/9/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Manta,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
3177,1/9/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3242,1/10/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3301,1/10/2025,HCE,Tiempo de carga de la ficha clinica supera los 24s en horas pico,Medico,Manta,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
3348,1/10/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3411,1/10/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3776,1/10/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3900,1/10/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3978,1/10/2025,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Guayaquil,Efectividad,El usuario no logra completar su objetivo (agendar la cita) pese a reintentar: fallo de Efectividad.
1056,1/11/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Farmacia,Guayaquil,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
1272,1/11/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
1328,1/11/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2177,1/11/2025,Facturacion,Factura duplicada al reintentar pago,Admision,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2674,1/11/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Admision,Guayaquil,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
2695,1/11/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3172,1/11/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
3632,1/11/2025,HCE,Nota de evolucion tarda 19s en guardarse,Medico,Quito,Eficiencia,"Mide el tiempo que toma completar una tarea ya lograda (guardar la nota); es una razon tiempo/tarea, propia de Eficiencia."
1447,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2024,1/12/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Quito,Satisfaccion,"El sistema puede seguir siendo usable, pero degrada la percepcion de comodidad/confianza del usuario (calidad de experiencia), sin impedir totalmente la tarea ni exponer un riesgo concreto."
2660,1/12/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Enfermeria,Ambato,Eficiencia,"Es un umbral de tiempo de carga/respuesta frente a una tarea que si se completa; corresponde a Eficiencia, no a Efectividad."
3125,1/12/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Guayaquil,Cobertura de Contexto,"El fallo solo se manifiesta en un contexto de uso especifico (tipo de dispositivo/canal), lo que evidencia que el sistema no mantiene su calidad fuera del contexto principal de diseno."
3640,1/12/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Guayaquil,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
3692,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1076,1/13/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1110,1/13/2025,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Medico,Guayaquil,Eficiencia,"Mide el tiempo hasta disponibilidad del resultado; es una metrica temporal (Eficiencia), aunque un retraso extremo deberia escalarse tambien como alerta de riesgo clinico."
1118,1/13/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1306,1/13/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1348,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
1632,1/13/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato,Efectividad,"El usuario no logra completar la tarea prevista (funcion ausente, bloqueada o interrumpida), independientemente del tiempo o riesgo."
1814,1/13/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Ambato,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2297,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Cuenca,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
2334,1/13/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Manta,Libertad de Riesgo,"Aunque puede describirse como un 'error del sistema', lo relevante no es si la tarea se completo sino que expone al paciente o a la organizacion a un riesgo clinico, financiero o de privacidad (Libertad de Riesgo, no Efectividad)."
